epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,166.739,1.32724,1.21349,1.16498,0.98519,0.85714,0.91201,0.60447,1.22211,1.19047,0.99209,0.00098525,0.00098525,0.00098525
43,170.146,1.31496,1.39066,1.14563,0.98519,0.85714,0.91201,0.60447,1.22211,1.19047,0.99209,0.0009605,0.0009605,0.0009605
44,173.67,1.27806,1.21724,0.99755,0.99105,0.85714,0.92013,0.57359,1.49393,1.08606,1.07464,0.00093575,0.00093575,0.00093575
45,177.197,1.28154,1.25272,1.07678,0.98762,0.85714,0.92013,0.51505,1.54187,1.07534,1.09388,0.000911,0.000911,0.000911
46,180.68,1.19346,1.3039,1.08391,1,0.85415,0.9158,0.54294,1.41023,1.03792,1.03359,0.00088625,0.00088625,0.00088625
47,184.246,1.09642,1.23588,1.06508,1,0.85415,0.9158,0.54294,1.41023,1.03792,1.03359,0.0008615,0.0008615,0.0008615
48,187.614,1.16186,1.20088,1.06296,0.98912,0.78571,0.90662,0.61415,1.21142,1.0048,0.97844,0.00083675,0.00083675,0.00083675
49,191.042,1.09666,1.2136,1.0512,0.92214,0.84674,0.9003,0.60708,1.16735,1.0061,0.96381,0.000812,0.000812,0.000812
50,194.423,1.09986,1.09693,1.02005,0.91365,0.85714,0.90662,0.64641,1.23284,0.96687,0.97397,0.00078725,0.00078725,0.00078725
51,197.795,1.18585,1.19815,1.02355,0.91365,0.85714,0.90662,0.64641,1.23284,0.96687,0.97397,0.0007625,0.0007625,0.0007625
52,201.395,1.14129,1.10442,0.99873,1,0.85171,0.91201,0.62841,1.23315,0.96289,0.987,0.00073775,0.00073775,0.00073775
53,204.778,1.25937,1.23784,1.04905,0.92771,0.91734,0.92013,0.64523,1.14808,0.96387,0.97792,0.000713,0.000713,0.000713
54,208.116,1.14954,1.20241,0.97195,0.97566,0.92857,0.92513,0.65859,1.1035,0.97046,0.96943,0.00068825,0.00068825,0.00068825
55,211.465,1.11428,1.13495,0.99643,0.97566,0.92857,0.92513,0.65859,1.1035,0.97046,0.96943,0.0006635,0.0006635,0.0006635
56,214.984,1.15208,1.24012,1.03621,1,0.92386,0.92513,0.62964,1.13988,0.98325,0.98374,0.00063875,0.00063875,0.00063875
57,218.433,1.10543,1.25128,1.0568,1,0.91847,0.92513,0.63116,1.1537,0.96227,0.99289,0.000614,0.000614,0.000614
58,221.969,1.00867,1.02125,1.00178,1,0.91682,0.92513,0.62791,1.1718,0.96517,0.99229,0.00058925,0.00058925,0.00058925
59,225.586,0.95002,1.03121,0.95933,1,0.91682,0.92513,0.62791,1.1718,0.96517,0.99229,0.0005645,0.0005645,0.0005645
60,229.094,0.94845,1.01103,0.96057,1,0.91637,0.92513,0.67463,1.08062,0.92012,0.97011,0.00053975,0.00053975,0.00053975
61,232.92,1.10598,1.1044,0.94829,0.99349,0.92857,0.92513,0.70465,1.01085,0.89865,0.95179,0.000515,0.000515,0.000515
62,236.892,1.01489,1.05919,0.99736,0.98139,0.92857,0.92513,0.68942,1.03925,0.86355,0.95871,0.00049025,0.00049025,0.00049025
63,240.598,1.06675,1.03357,0.96052,0.98139,0.92857,0.92513,0.68942,1.03925,0.86355,0.95871,0.0004655,0.0004655,0.0004655
64,244.335,1.0333,1.08931,1.01167,0.96885,0.92857,0.92513,0.68125,1.08249,0.85939,0.96102,0.00044075,0.00044075,0.00044075
65,248.371,0.99514,1.12783,1.02604,0.96597,0.92857,0.92513,0.67106,1.12691,0.86469,0.96076,0.000416,0.000416,0.000416
66,252.114,1.08121,1.03642,0.97444,1,0.92332,0.92513,0.66383,1.11297,0.86577,0.94986,0.00039125,0.00039125,0.00039125
67,255.654,0.98301,0.99587,0.97802,1,0.92332,0.92513,0.66383,1.11297,0.86577,0.94986,0.0003665,0.0003665,0.0003665
68,259.457,0.97334,1.07136,0.99574,1,0.91197,0.92513,0.65384,1.09237,0.86292,0.93664,0.00034175,0.00034175,0.00034175
69,263.461,0.97502,1.03905,0.95641,0.92066,0.92857,0.92013,0.68563,1.03503,0.83768,0.92138,0.000317,0.000317,0.000317
70,267.301,1.08401,1.04264,1.07655,0.9223,0.92857,0.92013,0.6885,1.02347,0.82081,0.91835,0.00029225,0.00029225,0.00029225
71,282.259,1.01464,1.14322,0.88895,0.9223,0.92857,0.92013,0.6885,1.02347,0.82081,0.91835,0.0002675,0.0002675,0.0002675
72,285.971,1.02062,1.17364,0.95366,0.9233,0.92857,0.92013,0.69936,1.00328,0.81677,0.91809,0.00024275,0.00024275,0.00024275
73,289.72,0.90684,1.07629,0.90912,0.92366,0.92857,0.92013,0.69142,0.9886,0.82093,0.91153,0.000218,0.000218,0.000218
74,293.542,0.85646,1.04121,0.99512,0.92208,0.92857,0.92013,0.67314,0.98951,0.83881,0.91198,0.00019325,0.00019325,0.00019325
75,297.294,0.92354,1.18287,0.93609,0.92208,0.92857,0.92013,0.67314,0.98951,0.83881,0.91198,0.0001685,0.0001685,0.0001685
76,301.151,0.94118,1.11785,0.9152,0.92067,0.92857,0.92013,0.68444,1.00266,0.85644,0.91403,0.00014375,0.00014375,0.00014375
77,305.079,0.89777,1.07258,0.94631,0.91994,0.92857,0.92013,0.67054,1.02449,0.86289,0.91919,0.000119,0.000119,0.000119
78,308.869,0.89966,1.04607,0.89786,1,0.91222,0.92513,0.66522,1.03756,0.85902,0.91876,9.425e-05,9.425e-05,9.425e-05
79,312.623,0.90514,1.10199,0.90921,1,0.91222,0.92513,0.66522,1.03756,0.85902,0.91876,6.95e-05,6.95e-05,6.95e-05
80,316.196,0.84248,1.06977,0.90091,1,0.9159,0.92513,0.65796,1.05788,0.87684,0.92288,4.475e-05,4.475e-05,4.475e-05
